win_start,win_end,center_index,window_date,window_start_date,window_end_date,D,D_stderr,D_ci_low,D_ci_high,beta_acf,beta_acf_stderr,beta_acf_ci_low,beta_acf_ci_high,beta_acf_r2,De_acf_TL_JOINT,De_acf_TL_JOINT_stderr,De_acf_TL_AR,De_acf_TL_AR_stderr,De_acf_Student,De_acf_Student_stderr,beta_hac,beta_hac_stderr,beta_hac_r2,De_hac_TL_JOINT,De_hac_TL_JOINT_stderr,De_hac_TL_AR,De_hac_TL_AR_stderr,De_hac_Student,De_hac_Student_stderr,beta_dfa,beta_dfa_stderr,beta_dfa_ci_low,beta_dfa_ci_high,beta_dfa_H,beta_dfa_r2,De_dfa_TL_JOINT,De_dfa_TL_JOINT_stderr,De_dfa_TL_AR,De_dfa_TL_AR_stderr,De_dfa_Student,De_dfa_Student_stderr,beta_bayes,beta_bayes_stderr,De_bayes_TL_JOINT,De_bayes_TL_JOINT_stderr,De_bayes_TL_AR,De_bayes_TL_AR_stderr,De_bayes_Student,De_bayes_Student_stderr,beta_whittle,beta_whittle_stderr,beta_whittle_m,De_whittle_TL_JOINT,De_whittle_TL_JOINT_stderr,De_whittle_TL_AR,De_whittle_TL_AR_stderr,De_whittle_Student,De_whittle_Student_stderr,,epsilon
792,917,854,1899-10-19T00:00:00,1899-07-21T00:00:00,1900-01-19T00:00:00,,,,,3.5405988003406277,1.1102030023034737,0.081712801,3.133689807835954,0.6114508990900573,0.25826034366077255,0.11042084228171532,0.2622530898984739,0.11085620404379525,0.2505099110307867,0.10985444641673113,3.4127303890401346,0.7881642184113559,0.5783627177000019,0.22787235414092522,0.1050889715140639,0.2354834590724273,0.10724243553661741,0.21184251221482986,0.10059353069310444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16225309
814,939,876,1899-11-21T00:00:00,1899-08-22T00:00:00,1900-02-21T00:00:00,,,,,4.642881130091567,0.9114724770836173,0.20220244752592437,3.6502658334052365,0.6784582055412647,0.2257292293944761,0.10462630288045136,0.23372283366330543,0.106948101,0.20854079455349325,0.099599769,4.509926290847374,0.940810087,0.6554821443487846,0.2316000577415975,0.10615466124908046,0.23892361475530005,0.10802469022681568,0.21604343427834144,0.10227208398409815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133722834
836,961,898,1899-12-22T00:00:00,1899-09-22T00:00:00,1900-03-26T00:00:00,,,,,3.1407974611441314,0.9074433845065906,0.20997304027516953,2.9176823792672857,0.6553938241271611,0.24761627552619797,0.10915543269865596,0.2528983845453641,0.11005098402992045,0.2370594183477997,0.10763357188595919,3.071925237054026,0.5926647360031578,0.6330012597521533,0.19346316153441154,0.091591654,0.20387240990289424,0.097066546,0.17132439890271828,0.07900226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152898385
858,983,920,1900-01-25T00:00:00,1899-10-25T00:00:00,1900-04-26T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
880,1005,942,1900-02-28T00:00:00,1899-11-27T00:00:00,1900-05-28T00:00:00,,,,,2.584366661,0.835578589,0.049059684462331374,3.001476637806346,0.9510699076513545,0.2494962423918487,0.10935293195972287,0.2544723101266385,0.11016711158508823,0.2397478810381336,0.1080269818276122,2.556188078296241,0.13131006401319534,0.9459145619572744,0.10081322150285392,0.001088126,0.10405522636892232,0.006099082,0.11028626952259844,0.001377204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15447231
902,1027,964,1900-03-30T00:00:00,1899-12-29T00:00:00,1900-06-28T00:00:00,,,,,0.653885948,0.5695119200263045,0.040108913,2.0067491240231274,0.5703195876300499,0.2730670185612365,0.11042924814435282,0.27458064335586224,0.11065555851474633,0.27117487060777723,0.11011617817541673,0.6802840355304497,0.14296607276566886,0.6051942698315296,0.13336076204740027,0.033363184,0.1330612903035602,0.03517962,0.13575375281735252,0.032618589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174580643
924,1049,986,1900-05-02T00:00:00,1900-01-31T00:00:00,1900-07-31T00:00:00,,,,,2.269522341876771,0.6406756419541898,0.046172724934925594,2.0735469028908793,0.4029928645714198,0.2294259691391986,0.1052601956812767,0.23659012460007284,0.10730134020588836,0.21489139057970214,0.10121958170179435,1.8635575867433711,0.9151195157161413,0.34276361495584995,0.2668593553666446,0.11079057126922094,0.26961366559090694,0.111008595,0.2619371346916248,0.11060964280505184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136590125
946,1071,1008,1900-06-04T00:00:00,1900-03-06T00:00:00,1900-08-30T00:00:00,,,,,-0.57229772,,,,,0.47427317933272795,,0.46090468996710976,,0.4666354807105063,,-0.913189466,0.8629882306002978,0.081571319,0.3047968625646587,0.10790243517466286,0.30279880841249407,0.10825434636580156,0.3080974968715836,0.10709404763079673,,,,,,,,,,,,,0.4301795072871808,0.379556135,0.26940111288941293,0.10951140575333997,0.2705292024259498,0.10999626962052864,0.26918010704753625,0.10870034665155695,,,,,,,,,,,-0.01909531
968,1093,1030,1900-07-05T00:00:00,1900-04-05T00:00:00,1900-10-02T00:00:00,,,,,0.5228284665176176,0.6296149759006308,0.062946093,2.1706361404998256,0.19189387950080994,0.2799267512163183,0.11040405423217875,0.28069491697961957,0.11054629045163404,0.27923435382310796,0.110163814,0.4401192925733565,0.24284402993417903,0.132415307,0.23881616920163873,0.10368596481031142,0.24105040866208108,0.10533382171527512,0.23884595303888803,0.101538038,,,,,,,,,,,,,0.5643589402188979,0.34832773606776024,0.25285238850780584,0.10806429895033921,0.25563844162421523,0.10899454720635039,0.24997115421068267,0.10672982020460213,,,,,,,,,,,0.180694917
990,1115,1052,1900-08-06T00:00:00,1900-05-08T00:00:00,1900-11-01T00:00:00,,,,,-0.980855433,,,,,0.4742729050392679,,0.46090468968793036,,0.4780924796953834,,-1.143563676,0.7894691266321059,0.10759586759971318,0.31097264829106036,0.10664046817203646,0.3082678611155924,0.10718404555635591,0.31515939565291684,0.10550816757964215,,,,,,,,,,,,,0.5393505667581775,0.45368961733248964,0.26956552034964143,0.10999239336541633,0.27112498463805157,0.11036533556797846,0.2680685507966999,0.10942026106971296,,,,,,,,,,,-0.01909531
1012,1137,1074,1900-09-06T00:00:00,1900-06-08T00:00:00,1900-12-05T00:00:00,,,,,0.6519755205781904,0.6023451414191316,0.081625492,2.3475560785874974,0.1745066862357597,0.27494938316608164,0.11048868598530129,0.27629616624021763,0.1106758571291778,0.2732757098044858,0.11023044512387113,0.41432141494583213,0.5965762599743614,0.082823639,0.28217520607357494,0.1102333677662634,0.2826045276318958,0.11039065981994169,0.2821419971423724,0.10992169949554634,,,,,,,,,,,,,0.5994762444475101,0.39329268615554624,0.25823138201540063,0.10903311672472704,0.26080600354407213,0.1097286815653684,0.25527671354468284,0.10803045812778285,,,,,,,,,,,0.176296166
