win_start,win_end,center_index,window_date,D,D_stderr,beta_hac,beta_hac_stderr,De_hac_TL_AR,De_hac_TL_AR_stderr,De_hac_Student,De_hac_Student_stderr,DELTA D,DELTA BETA,DELTA D_E,Lag D-1,LagD-2,LagD-3,LagD-4,lagB-1,Lagb-2,Lagb-3,Lagb-4,correl,dummy,serei specifica
18750,19950,19350,1969-09-18T00:00:00,0.594643153,0.010189297,0.755032298,0.097836314,0.111661233,0.012363726,0.120270109,0.018362206,-0.033578675,-0.341736977,0.032221689,0.009295867,-0.015981603,0.033045788,0.032077692,0.242429438,0.123501601,0.338743307,-0.048686307,0.005685858,0,
19000,20200,19600,1970-09-14T00:00:00,0.574675823,0.006707238,0.779360714,0.156839304,0.131407154,0.034693944,0.133131512,0.030794065,-0.022701623,-0.313829938,0.598861036,-0.033578675,0.009295867,-0.015981603,0.033045788,-0.341736977,0.242429438,0.123501601,0.338743307,-0.050370326,0,
19250,20450,19850,1971-09-09T00:00:00,0.56162975,0.004602306,1.246089479,0.1958692,0.122386093,0.025919443,0.120054682,0.020373419,-0.066389541,0.208244567,-0.554926483,-0.022701623,-0.033578675,0.009295867,-0.015981603,-0.313829938,-0.341736977,0.242429438,0.123501601,-0.152984623,0,
19500,20700,20100,1972-09-01T00:00:00,0.524343409,0.005560711,0.554601427,0.070773614,0.114436777,0.013916455,0.130517143,0.024379646,0.020737806,-0.372472069,-0.128173366,-0.066389541,-0.022701623,-0.033578675,0.009295867,0.208244567,-0.313829938,-0.341736977,0.242429438,-0.092777931,0,
19750,20950,20350,1973-09-04T00:00:00,0.53521714,0.003489501,0.483516295,0.039900825,0.112293771,0.011310089,0.133960066,0.025207887,-0.009726768,1.915587459,0.241738224,0.020737806,-0.066389541,-0.022701623,-0.033578675,-0.372472069,0.208244567,-0.313829938,-0.341736977,-0.043648904,0,
20000,21200,20600,1974-08-29T00:00:00,0.530011208,0.010173947,0.600400666,0.063819468,0.110388829,0.010580233,0.124936534,0.020618322,-0.018750199,0.059926932,-0.070231503,-0.009726768,0.020737806,-0.066389541,-0.022701623,1.915587459,-0.372472069,0.208244567,-0.313829938,0.320647254,0,
20250,21450,20850,1975-08-26T00:00:00,0.520073392,0.01078364,0.558233625,0.06401424,0.112576883,0.012212481,0.128882491,0.02310987,0.037268882,-0.474393496,-0.372163184,-0.018750199,-0.009726768,0.020737806,-0.066389541,0.059926932,1.915587459,-0.372472069,0.208244567,0.364886662,0,
20500,21700,21100,1976-08-20T00:00:00,0.539455946,0.005667951,0.350479622,0.040463087,0.127900897,0.022119097,0.160779861,0.037240518,-0.054461426,-0.472002641,1.295697488,0.037268882,-0.018750199,-0.009726768,0.020737806,-0.474393496,0.059926932,1.915587459,-0.372472069,0.322479205,0,
20750,21950,21350,1977-08-18T00:00:00,0.510076406,0.002992663,0.804595187,0.143128474,0.123456281,0.025353932,0.127316741,0.02518575,0.030449953,0.297342392,1.001723732,-0.054461426,0.037268882,-0.018750199,-0.009726768,-0.472002641,-0.474393496,0.059926932,1.915587459,0.161969075,0,
21000,22200,21600,1978-08-15T00:00:00,0.525608208,0.003882509,1.61057728,0.287089395,0.144121564,0.053219626,0.130239299,0.033272852,0.008452888,0.072481482,-0.327251736,0.030449953,-0.054461426,0.037268882,-0.018750199,0.297342392,-0.472002641,-0.474393496,0.059926932,0.291059186,0,
21250,22450,21850,1979-08-09T00:00:00,0.530051116,0.004163919,1.083513069,0.303020469,0.19097337,0.089079677,0.17090246,0.072932585,-0.003882985,-0.508705989,0.052384448,0.008452888,0.030449953,-0.054461426,0.037268882,0.072481482,0.297342392,-0.472002641,-0.474393496,0.279572523,0,
21500,22700,22100,1980-08-05T00:00:00,0.527992935,0.002045708,1.140272303,0.278970249,0.171864356,0.076976148,0.153617352,0.057729852,-0.037775509,0.754610835,0.141692978,-0.003882985,0.008452888,0.030449953,-0.054461426,-0.508705989,0.072481482,0.297342392,-0.472002641,0.252520106,0,
21750,22950,22350,1981-08-03T00:00:00,0.508047733,0.003589422,1.301840882,0.41301491,0.221643686,0.102649441,0.201191568,0.093092099,-0.036980584,-0.279219563,-0.397770345,-0.037775509,-0.003882985,0.008452888,0.030449953,0.754610835,-0.508705989,0.072481482,0.297342392,0.282488895,0,
